transaction_id,customer_id,transaction_date,type,description,amount,transaction_id,customer_id,transaction_date,type,description,Amount,label,Confidence_random_forest,category_random_forest,subcategory_random_forest,CR_version,model_version
3333,4712,2018-02-11T00:00:00Z,debit,citadines trafalga,,3333,4712,2018-02-11T00:00:00Z,debit,citadines trafalga,15.8,transfer_out/transfer_out,0.9687500000000001,transfer_out,transfer_out,Oct2018,Oct2018
4444,4711,2018-02-11T00:00:00Z,debit,lemon tree,,4444,4711,2018-02-11T00:00:00Z,debit,lemon tree,50.05,food_and_dining/restaurants,0.77890625,food_and_dining,restaurants,Oct2018,Oct2018
5555,4711,2018-02-10T00:00:00Z,debit,starbucks,,5555,4711,2018-02-10T00:00:00Z,debit,starbucks,13.12,food_and_dining/coffee shops,1.0,food_and_dining,coffee shops,Oct2018,Oct2018
6666,4712,2018-02-12T00:00:00Z,debit,ltr uk london city,,6666,4712,2018-02-12T00:00:00Z,debit,ltr uk london city,67.2,shopping/department store,0.2671626984,shopping,department store,Oct2018,Oct2018
7777,4713,2018-02-11T00:00:00Z,debit,pret a manger,,7777,4713,2018-02-11T00:00:00Z,debit,pret a manger,12.85,food_and_dining/coffee shops,1.0,food_and_dining,coffee shops,Oct2018,Oct2018
8888,4711,2018-02-09T00:00:00Z,debit,princess of wales,,8888,4711,2018-02-09T00:00:00Z,debit,princess of wales,12.88,food_and_dining/pubs & clubs,0.3696676587,food_and_dining,pubs & clubs,Oct2018,Oct2018
9999,4713,2018-02-11T00:00:00Z,debit,the wellington,,9999,4713,2018-02-11T00:00:00Z,debit,the wellington,6.7,food_and_dining/pubs & clubs,0.9167534722,food_and_dining,pubs & clubs,Oct2018,Oct2018
1010,4711,2018-02-08T00:00:00Z,debit,boots 1629,,1010,4711,2018-02-08T00:00:00Z,debit,boots 1629,29.9,health_and_fitness/pharmacy,1.0,health_and_fitness,pharmacy,Oct2018,Oct2018
1111,4711,2018-02-11T00:00:00Z,credit,docklands light railwa,,1111,4711,2018-02-11T00:00:00Z,credit,docklands light railwa,20.3,refunds/returned purchase,0.3275793651,refunds,returned purchase,Oct2018,Oct2018
2222,4711,2018-02-12T00:00:00Z,credit,salery,,2222,4711,2018-02-12T00:00:00Z,credit,salery,10530.43,transfer_in/transfer_in,0.5647058824,transfer_in,transfer_in,Oct2018,Oct2018
