transaction_id;customer_id;transaction_date;type;description;amount
1;42;2016-02-11 00:00:00;credit;HHK: Initiale Einzahlung CH nach Kontoeroffnung;200.00
2;42;2016-02-12 00:00:00;credit;HHK: Initiale Einzahlung DE nach Kontoeroffnung;200.00
3;42;2016-02-13 00:00:00;debit;REWE Emmendingen/M    ;46.57
4;42;2016-02-14 00:00:00;debit;Tankstelle Gruen      ;44.49
5;42;2016-02-16 00:00:00;credit;Allg. Anteil Schaden CostaRica Hausratversicherung Total CHF 1520 Kamera 360 - Selbstbehalt 200;160.00
6;42;2016-02-20 00:00:00;debit;Danke Ihr Ecenter     ;136.24
7;42;2016-03-02 00:00:00;credit;GEMEINSCHAFTSKONTO;500.00
8;42;2016-03-02 00:00:00;debit;306-2908083-0677110 Amazon.Mktplce EU-DE 1149463366233408;19.99
9;42;2016-03-04 00:00:00;debit;Danke Ihr Ecenter     ;83.82
10;42;2016-03-04 00:00:00;debit;Danke Ihr Ecenter     ;30.35
11;42;2016-03-04 00:00:00;debit;Toys 'R' Us Gundelfing;22.99
12;42;2016-03-05 00:00:00;debit;Sparda-Bank Baden-Wuer;100.00
13;42;2016-03-05 00:00:00;debit;Braun Moebel Center   ;12.95
14;42;2016-03-05 00:00:00;debit;Obi Bau- und Heimwerke;51.74
15;42;2016-03-26 00:00:00;debit;Obi Bau- und Heimwerke;71.12
16;42;2016-04-02 00:00:00;debit;Obi Bau- und Heimwerke;44.97
17;42;2016-04-04 00:00:00;credit;GEMEINSCHAFTSKONTO;500.00
18;42;2016-04-04 00:00:00;debit;028-7052069-6150746 Amazon.de 0132819956533897;379.70
19;42;2016-04-09 00:00:00;debit;REWE Emmendingen/M    ;123.60
20;42;2016-04-16 00:00:00;debit;Volksbank BreisgauNord;50.00
21;42;2016-04-16 00:00:00;debit;Volksbank BreisgauNord;100.00
22;42;2016-05-03 00:00:00;credit;GEMEINSCHAFTSKONTO;500.00
23;42;2016-05-06 00:00:00;debit;ATM M2 CAIAZZO        ;33.00
24;42;2016-05-07 00:00:00;debit;CLASS                 ;59.90
25;42;2016-05-07 00:00:00;debit;CONBIPEL  1           ;54.97
26;42;2016-05-07 00:00:00;debit;ALDO                  ;108.00
27;42;2016-05-07 00:00:00;debit;PIAZZA DUCA D'A       ;210.00
28;42;2016-05-09 00:00:00;debit;028-1817070-9740302 Amazon.de 2206958987115551;27.99
29;42;2016-06-02 00:00:00;credit;GEMEINSCHAFTSKONTO;500.00
30;42;2016-06-04 00:00:00;debit;dm-drogerie markt GmbH;53.40
31;42;2016-06-04 00:00:00;debit;JET-Tankstelle        ;67.74
32;42;2016-06-10 00:00:00;debit;SFO/T-3/BA/F   NT AIRP;90.13
33;42;2016-06-11 00:00:00;debit;RFC MGM GRAND REST    ;13.34
34;42;2016-06-11 00:00:00;debit;MIRACLE MILE SHOP 2   ;284.74
35;42;2016-06-12 00:00:00;debit;TAQUERIA CANONITA     ;106.56
36;42;2016-06-13 00:00:00;debit;Starbucks D NW        ;12.38
37;42;2016-06-13 00:00:00;debit;Burke in a Box        ;16.90
38;42;2016-06-14 00:00:00;debit;WHOLEFDS FFX 10177    ;21.68
39;42;2016-06-17 00:00:00;debit;TBIT Chaya            ;15.51
40;42;2016-06-22 00:00:00;credit;Geld fur Saint Petersburg und Moskau;500.00
41;42;2016-06-22 00:00:00;debit;ATM 029964 7 BOLSHAYA ;68.97
42;42;2016-06-22 00:00:00;debit;ATM 029964 7 BOLSHAYA ;68.97
43;42;2016-06-23 00:00:00;credit;URLAUBSGELD RUSSIA;500.00
44;42;2016-06-23 00:00:00;debit;SHTANDART             ;124.71
45;42;2016-06-24 00:00:00;debit;GALEREJA OBUV         ;41.65
46;42;2016-06-24 00:00:00;debit;OOO LIDER-II          ;33.24
47;42;2016-06-25 00:00:00;debit;ATM 995827 100 NEVSKIY;69.55
48;42;2016-06-26 00:00:00;debit;MCDONALDS 11001       ;3.90
49;42;2016-06-26 00:00:00;debit;OOO LIDER K           ;157.62
50;42;2016-06-28 00:00:00;debit;PAVILON ITALIYA       ;5.40
51;42;2016-06-28 00:00:00;debit;BAR BQ KAFE           ;67.49
52;42;2016-06-28 00:00:00;debit;ATM0012 IMB PRECHISTEN;42.62
53;42;2016-06-29 00:00:00;debit;"""IRISH BAR SHANNON'S-V";35.52
54;42;2016-07-04 00:00:00;credit;GEMEINSCHAFTSKONTO;500.00
55;42;2016-07-12 00:00:00;credit;VERRECHNUNG URLAUB RUSSLAND UND WANDERN;200.00
56;42;2016-07-15 00:00:00;debit;SPK FREIBURG-NOERDLICH;200.00
57;42;2016-07-15 00:00:00;debit;dm-drogerie markt GmbH;159.80
58;42;2016-07-16 00:00:00;debit;Obi Bau- und Heimwerke;22.10
59;42;2016-07-16 00:00:00;debit;Tankstelle Gruen      ;60.16
60;42;2016-07-26 00:00:00;debit;306-0666973-1046727 Amazon.Mktplce EU-DE 0184735679216963;77.67
61;42;2016-07-27 00:00:00;debit;PRET A MANGER         ;5.79
62;42;2016-07-27 00:00:00;debit;DOCKLANDS LIGHT RAILWA;14.48
63;42;2016-07-27 00:00:00;debit;COCO DI MAMA          ;6.21
64;42;2016-07-27 00:00:00;debit;028-3696133-7081908 Amazon.Mktplce EU-DE 1741461223156233;28.80
65;42;2016-07-27 00:00:00;debit;       AELIA DUTY FREE;18.19
66;42;2016-07-27 00:00:00;debit;PANOPOLIS AIRSIDE     ;16.26
67;42;2016-07-29 00:00:00;debit;Tankstelle Gruen      ;5.38
68;42;2016-08-01 00:00:00;debit;Danke Ihr Neukauf     ;66.46
69;42;2016-08-01 00:00:00;debit;4191 TREFF TENINGEN   ;5.27
70;42;2016-08-02 00:00:00;credit;GEMEINSCHAFTSKONTO;500.00
71;42;2016-08-06 00:00:00;debit;REWE Emmendingen/M    ;12.70
72;42;2016-08-07 00:00:00;debit;Aral Station 231807108;62.99
73;42;2016-08-24 00:00:00;debit;305-9200011-5793967 Amazon.Mktplce EU-DE 0859649431239248;80.98
74;42;2016-08-24 00:00:00;debit;305-9200011-5793967 Amazon.Mktplce EU-DE 0859615480020156;77.96
75;42;2016-09-02 00:00:00;credit;GEMEINSCHAFTSKONTO;500.00
