transaction_id;customer_id;transaction_date;type;description;amount;transaction_id;customer_id;transaction_date;type;description;Amount;label;Confidence_random_forest;category_random_forest;subcategory_random_forest;CR_version;model_version
3;42;2016-02-13T00:00:00Z;debit;rewe emmendingen/m    ;;3;42;2016-02-13T00:00:00Z;debit;rewe emmendingen/m    ;46.57;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
4;42;2016-02-14T00:00:00Z;debit;tankstelle gruen      ;;4;42;2016-02-14T00:00:00Z;debit;tankstelle gruen      ;44.49;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
6;42;2016-02-20T00:00:00Z;debit;danke ihr ecenter     ;;6;42;2016-02-20T00:00:00Z;debit;danke ihr ecenter     ;136.24;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
8;42;2016-03-02T00:00:00Z;debit;306-2908083-0677110 amazon.mktplce eu-de 1149463366233408;;8;42;2016-03-02T00:00:00Z;debit;306-2908083-0677110 amazon.mktplce eu-de 1149463366233408;19.99;travel/hotel;0.1402281746;travel;hotel;Oct2018;Oct2018
9;42;2016-03-04T00:00:00Z;debit;danke ihr ecenter     ;;9;42;2016-03-04T00:00:00Z;debit;danke ihr ecenter     ;83.82;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
10;42;2016-03-04T00:00:00Z;debit;danke ihr ecenter     ;;10;42;2016-03-04T00:00:00Z;debit;danke ihr ecenter     ;30.35;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
11;42;2016-03-04T00:00:00Z;debit;toys 'r' us gundelfing;;11;42;2016-03-04T00:00:00Z;debit;toys 'r' us gundelfing;22.99;shopping/toys;1.0;shopping;toys;Oct2018;Oct2018
12;42;2016-03-05T00:00:00Z;debit;sparda-bank baden-wuer;;12;42;2016-03-05T00:00:00Z;debit;sparda-bank baden-wuer;100.0;transfer_out/transfer_out;0.2818204365;transfer_out;transfer_out;Oct2018;Oct2018
13;42;2016-03-05T00:00:00Z;debit;braun moebel center   ;;13;42;2016-03-05T00:00:00Z;debit;braun moebel center   ;12.95;travel/holiday;0.3250248016;travel;holiday;Oct2018;Oct2018
14;42;2016-03-05T00:00:00Z;debit;obi bau- und heimwerke;;14;42;2016-03-05T00:00:00Z;debit;obi bau- und heimwerke;51.74;transfer_out/transfer_out;0.8125;transfer_out;transfer_out;Oct2018;Oct2018
15;42;2016-03-26T00:00:00Z;debit;obi bau- und heimwerke;;15;42;2016-03-26T00:00:00Z;debit;obi bau- und heimwerke;71.12;transfer_out/transfer_out;0.8125;transfer_out;transfer_out;Oct2018;Oct2018
16;42;2016-04-02T00:00:00Z;debit;obi bau- und heimwerke;;16;42;2016-04-02T00:00:00Z;debit;obi bau- und heimwerke;44.97;transfer_out/transfer_out;0.8125;transfer_out;transfer_out;Oct2018;Oct2018
